Entry Time,Entry Price,Exit Time,Exit Price,Investment ($),Exit Value ($),Entry Fees ($),Exit Fees ($),PnL ($),Return (%),Price Change (%),Fee Checker,Exit Type
2023-02-10 06:31:00,21819.3,2023-02-15 20:32:00,23979.0,10000.0,10826.19,74.44,81.81,826.19,8.26,9.9,True,Fee-Aware Signal Exit
2023-02-16 23:53:00,23493.6,2023-02-17 03:30:00,23846.1,10826.19,10825.03,80.59,81.8,-1.17,-0.01,1.5,True,Fee-Aware Signal Exit
2023-03-08 09:21:00,21958.0,2023-03-09 18:33:00,20964.2,10825.03,10181.22,80.58,76.94,-643.8,-5.95,-4.53,False,Stop-Loss
2023-03-09 18:34:00,20989.9,2023-03-09 20:59:00,20086.7,10181.22,9598.06,75.79,72.53,-583.16,-5.73,-4.3,False,Stop-Loss
2023-03-09 21:00:00,20171.2,2023-03-14 13:04:00,26456.2,9598.06,12401.23,71.45,93.71,2803.17,29.21,31.16,True,Fee-Aware Signal Exit
2023-03-14 13:06:00,26302.5,2023-03-14 18:50:00,25134.4,12401.23,11674.05,92.32,88.22,-727.18,-5.86,-4.44,False,Stop-Loss
2023-03-14 18:51:00,24973.1,2023-03-17 19:05:00,26727.2,11674.05,12308.02,86.9,93.01,633.97,5.43,7.02,True,Fee-Aware Signal Exit
2023-03-18 14:36:00,27551.3,2023-03-19 16:48:00,28069.0,12308.02,12352.6,91.62,93.34,44.58,0.36,1.88,True,Fee-Aware Signal Exit
2023-03-24 17:51:00,27513.0,2023-03-26 12:01:00,27927.4,12352.6,12351.98,91.95,93.34,-0.63,-0.01,1.51,True,Fee-Aware Signal Exit
2023-03-27 14:17:00,27516.0,2023-03-29 06:28:00,27945.4,12351.98,12357.97,91.95,93.39,5.99,0.05,1.56,True,Fee-Aware Signal Exit
2023-03-30 17:36:00,27732.8,2023-03-31 00:50:00,28159.1,12357.97,12361.11,91.99,93.41,3.14,0.03,1.54,True,Fee-Aware Signal Exit
2023-04-05 15:04:00,27862.3,2023-04-10 22:03:00,29641.6,12361.11,12954.71,92.02,97.89,593.6,4.8,6.39,True,Fee-Aware Signal Exit
2023-04-21 02:45:00,28189.6,2023-04-26 08:26:00,28657.2,12954.71,12973.52,96.44,98.04,18.81,0.15,1.66,True,Fee-Aware Signal Exit
2023-05-01 01:51:00,28454.4,2023-05-03 21:21:00,28939.4,12973.52,12998.21,96.58,98.22,24.68,0.19,1.7,True,Fee-Aware Signal Exit
2023-05-12 14:58:00,26303.1,2023-05-12 21:12:00,26704.5,12998.21,13000.09,96.76,98.24,1.89,0.01,1.53,True,Fee-Aware Signal Exit
2023-05-22 04:28:00,26650.4,2023-05-23 02:58:00,27099.6,13000.09,13022.4,96.77,98.41,22.31,0.17,1.69,True,Fee-Aware Signal Exit
2023-05-24 03:09:00,27063.3,2023-05-25 01:27:00,25866.5,13022.4,12261.21,96.94,92.65,-761.19,-5.85,-4.42,False,Stop-Loss
2023-05-25 01:28:00,25889.7,2023-05-25 12:00:00,26278.6,12261.21,12260.1,91.27,92.65,-1.11,-0.01,1.5,True,Fee-Aware Signal Exit
2023-05-25 15:28:00,26245.4,2023-05-26 14:20:00,26659.6,12260.1,12268.17,91.27,92.71,8.07,0.07,1.58,True,Fee-Aware Signal Exit
2023-06-12 02:55:00,25756.8,2023-06-13 08:45:00,26188.0,12268.17,12287.85,91.33,92.86,19.67,0.16,1.67,True,Fee-Aware Signal Exit
2023-06-13 15:22:00,25803.6,2023-06-21 13:48:00,29164.6,12287.85,13681.6,91.47,103.39,1393.76,11.34,13.03,True,Fee-Aware Signal Exit
2023-06-21 14:02:00,29149.6,2023-06-21 15:15:00,29588.5,13681.6,13680.84,101.85,103.38,-0.76,-0.01,1.51,True,Fee-Aware Signal Exit
2023-06-22 14:42:00,29700.0,2023-06-22 19:57:00,30146.1,13680.84,13679.59,101.84,103.37,-1.26,-0.01,1.5,True,Fee-Aware Signal Exit
2023-06-28 07:34:00,30213.2,2023-06-29 10:35:00,30690.7,13679.59,13688.9,101.83,103.44,9.31,0.07,1.58,True,Fee-Aware Signal Exit
2023-06-30 13:44:00,30276.6,2023-07-03 02:30:00,30745.8,13688.9,13694.07,101.9,103.48,5.18,0.04,1.55,True,Fee-Aware Signal Exit
2023-07-08 17:58:00,30199.7,2023-07-10 19:47:00,30663.9,13694.07,13697.55,101.94,103.51,3.48,0.03,1.54,True,Fee-Aware Signal Exit
2023-08-04 11:35:00,29113.1,2023-08-08 12:58:00,29553.2,13697.55,13697.6,101.97,103.51,0.05,0.0,1.51,True,Fee-Aware Signal Exit
2023-08-22 23:41:00,25990.7,2023-08-23 19:40:00,26625.8,13697.6,13823.39,101.97,104.46,125.79,0.92,2.44,True,Fee-Aware Signal Exit
2023-08-23 19:58:00,26609.7,2023-08-29 14:26:00,27070.3,13823.39,13853.3,102.9,104.68,29.91,0.22,1.73,True,Fee-Aware Signal Exit
2023-09-09 12:20:00,25786.2,2023-09-12 10:22:00,26192.3,13853.3,13861.97,103.13,104.75,8.67,0.06,1.57,True,Fee-Aware Signal Exit
2023-09-13 03:19:00,25864.6,2023-09-13 15:31:00,26263.0,13861.97,13865.93,103.19,104.78,3.96,0.03,1.54,True,Fee-Aware Signal Exit
2023-09-13 15:32:00,26265.4,2023-09-14 13:30:00,26671.3,13865.93,13870.58,103.22,104.82,4.65,0.03,1.55,True,Fee-Aware Signal Exit
2023-09-15 00:21:00,26463.0,2023-09-18 09:55:00,26868.6,13870.58,13873.5,103.25,104.84,2.92,0.02,1.53,True,Fee-Aware Signal Exit
2023-09-25 00:21:00,26058.5,2023-09-28 14:00:00,26570.5,13873.5,13935.48,103.28,105.31,61.98,0.45,1.96,True,Fee-Aware Signal Exit
2023-09-28 14:02:00,26505.0,2023-09-28 15:42:00,26904.7,13935.48,13935.02,103.74,105.3,-0.46,-0.0,1.51,True,Fee-Aware Signal Exit
2023-09-29 14:16:00,26761.4,2023-10-01 09:26:00,27178.0,13935.02,13941.25,103.73,105.35,6.23,0.04,1.56,True,Fee-Aware Signal Exit
2023-10-01 15:00:00,27087.8,2023-10-01 22:17:00,27975.1,13941.25,14183.55,103.78,107.18,242.3,1.74,3.28,True,Fee-Aware Signal Exit
2023-10-11 04:46:00,27078.6,2023-10-16 13:29:00,29311.1,14183.55,15124.34,105.58,114.29,940.79,6.63,8.24,True,Fee-Aware Signal Exit
2023-10-16 13:40:00,28361.7,2023-10-23 22:42:00,34189.8,15124.34,17960.82,112.59,135.72,2836.48,18.75,20.55,True,Fee-Aware Signal Exit
2023-10-23 23:10:00,32857.4,2023-10-24 00:31:00,33383.5,17960.82,17976.72,133.7,135.84,15.89,0.09,1.6,True,Fee-Aware Signal Exit
2023-10-24 18:09:00,33577.6,2023-10-24 21:56:00,34111.6,17976.72,17990.71,133.82,135.95,13.99,0.08,1.59,True,Fee-Aware Signal Exit
2023-10-27 17:07:00,33495.4,2023-10-28 10:42:00,34045.6,17990.71,18013.98,133.93,136.13,23.27,0.13,1.64,True,Fee-Aware Signal Exit
2023-11-03 10:15:00,34116.1,2023-11-03 14:25:00,34647.8,18013.98,18022.35,134.1,136.19,8.37,0.05,1.56,True,Fee-Aware Signal Exit
2023-11-03 16:33:00,34650.3,2023-11-08 19:17:00,35701.7,18022.35,18292.74,134.16,138.23,270.39,1.5,3.03,True,Fee-Aware Signal Exit
2023-11-08 19:18:00,35644.7,2023-11-09 02:24:00,36255.3,18292.74,18329.08,136.17,138.51,36.34,0.2,1.71,True,Fee-Aware Signal Exit
2023-11-14 15:34:00,35946.1,2023-11-15 18:06:00,36497.1,18329.08,18332.97,136.44,138.54,3.88,0.02,1.53,True,Fee-Aware Signal Exit
2023-11-17 14:40:00,36178.1,2023-11-18 16:12:00,36805.8,18332.97,18373.37,136.47,138.84,40.4,0.22,1.74,True,Fee-Aware Signal Exit
2023-11-19 08:09:00,36612.4,2023-11-19 23:02:00,37174.1,18373.37,18377.5,136.77,138.87,4.14,0.02,1.53,True,Fee-Aware Signal Exit
2023-11-21 23:56:00,35840.5,2023-11-22 04:15:00,36380.3,18377.5,18376.56,136.81,138.87,-0.94,-0.01,1.51,True,Fee-Aware Signal Exit
2023-11-23 19:05:00,37165.8,2023-11-24 10:25:00,37727.5,18376.56,18376.56,136.8,138.87,-0.0,-0.0,1.51,True,Fee-Aware Signal Exit
2023-11-26 10:46:00,37684.1,2023-12-05 15:24:00,42236.2,18376.56,20289.73,136.8,153.32,1913.17,10.41,12.08,True,Fee-Aware Signal Exit
2023-12-05 15:25:00,42209.7,2023-12-05 17:04:00,42863.0,20289.73,20297.01,151.04,153.38,7.28,0.04,1.55,True,Fee-Aware Signal Exit
2023-12-11 18:11:00,41000.1,2023-12-12 00:38:00,41615.9,20297.01,20295.13,151.09,153.36,-1.88,-0.01,1.5,True,Fee-Aware Signal Exit
2023-12-12 17:34:00,40759.9,2023-12-12 23:18:00,41371.8,20295.13,20293.11,151.08,153.35,-2.02,-0.01,1.5,True,Fee-Aware Signal Exit
2023-12-15 11:52:00,42737.6,2023-12-18 01:39:00,40893.1,20293.11,19128.2,151.07,144.55,-1164.92,-5.74,-4.32,False,Stop-Loss
2023-12-18 01:40:00,40877.6,2023-12-18 21:46:00,42566.2,19128.2,19621.8,142.39,148.28,493.61,2.58,4.13,True,Fee-Aware Signal Exit
2023-12-18 22:04:00,42442.0,2023-12-19 01:54:00,43163.6,19621.8,19658.31,146.07,148.55,36.51,0.19,1.7,True,Fee-Aware Signal Exit
2023-12-19 14:51:00,42201.8,2023-12-20 06:21:00,42844.2,19658.31,19660.42,146.34,148.57,2.11,0.01,1.52,True,Fee-Aware Signal Exit
